 65 ,121 ,121 ,121 ,121 ,121 ,121 ,121 ,121 ,121 ,121 ,121 ,121 ,121 ,66
 62 ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,60
 62 ,-1  ,50  ,-1  ,-1  ,-1  ,219 ,220 ,221 ,-1  ,-1  ,-1  ,-1  ,-1  ,60
 62 ,-1  ,-1  ,-1  ,-1  ,-1  ,279 ,280 ,281 ,-1  ,-1  ,-1  ,150 ,-1  ,60
 62 ,-1  ,-1  ,-1  ,-1  ,-1  ,339 ,340 ,341 ,-1  ,-1  ,-1  ,-1  ,-1  ,120
125 ,1   ,1   ,2   ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1
302 ,301 ,301 ,62  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1
 65 ,121 ,121 ,122 ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,273 ,-1  ,-1  ,-1  ,-1
 62 ,-1  ,-1  ,-1  ,-1  ,30  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,0
 62 ,-1  ,-1  ,-1  ,-1  ,90  ,-1  ,-1  ,-1  ,-1  ,-1  ,899 ,-1  ,-1  ,60
 62 ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,60
 62 ,-1  ,-1  ,150 ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,33  ,34  ,-1  ,-1  ,60
 62 ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,93  ,94  ,-1  ,-1  ,60
125 ,1   ,2   ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,-1  ,244
301 ,301 ,62  ,-1  ,-1  ,-1  ,0   ,1   ,1   ,1   ,1   ,1   ,1   ,1   ,126
