61,61,62,-1,-1,-1,60,301,301,301,301,5,121,121,66
61,61,62,-1,-1,-1,60,301,301,301,301,62,-1,-1,60
5,121,122,-1,-1,-1,60,301,301,301,301,62,-1,-1,60
62,-1,-1,-1,-1,-1,120,121,121,121,121,122,-1,-1,60
62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60
62,-1,31,32,-1,-1,-1,-1,-1,-1,-1,211,-1,-1,120
62,-1,91,92,-1,-1,-1,150,-1,-1,-1,211,211,-1,-1
62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,-1,-1,-1,-1,-1,-1,33,34,-1,-1,-1,-1,-1
125,1,1,1,2,-1,-1,-1,93,94,-1,-1,272,-1,0
301,301,301,301,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,60
301,361,301,301,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,60
65,121,121,121,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,60
62,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,126
