50,60,65,121,121,121,121,121,121,121,121,121,121,66,61
50,120,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,121
59,59,59,50,-1,-1,-1,-1,-1,-1,-1,59,59,59,59
1,2,59,59,-1,-1,-1,-1,-1,-1,59,59,0,1,1
121,9,2,59,59,705,-1,-1,705,59,59,-1,120,121,66
-1,60,62,391,59,705,-1,-1,705,59,-1,30,22,-1,120
-1,120,67,-1,59,59,59,59,59,59,-1,90,82,-1,-1
-1,-1,63,-1,-1,59,59,59,59,-1,-1,-1,82,-1,-1
1,1,127,-1,-1,-1,61,61,-1,-1,-1,-1,142,-1,-1
360,302,62,-1,-1,-1,61,61,-1,-1,-1,-1,0,1,1
360,300,62,-1,-1,-1,-1,-1,-1,397,398,-1,60,304,304
300,302,62,203,204,204,204,204,204,204,204,205,120,121,66
302,302,125,2,-1,35,36,-1,-1,-1,-1,-1,-1,-1,60
61,61,365,62,-1,95,96,-1,-1,-1,-1,-1,-1,-1,60
365,61,365,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60
