50,60,65,121,121,121,121,121,121,121,121,121,121,66,61
50,120,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,121
111,111,111,50,-1,-1,-1,-1,-1,-1,-1,111,111,111,111
1,2,111,111,-1,-1,-1,-1,-1,-1,111,111,0,1,1
121,122,50,111,111,-1,-1,-1,-1,111,111,-1,120,121,66
-1,-1,-1,391,111,111,-1,-1,111,111,-1,30,-1,-1,120
-1,-1,-1,-1,-1,111,111,111,111,-1,-1,90,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61,61,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1
61,61,62,-1,39,40,-1,-1,-1,-1,-1,-1,60,61,61
61,61,62,-1,99,100,-1,-1,-1,-1,-1,-1,120,121,66
61,61,125,2,-1,391,-1,-1,-1,-1,-1,39,40,-1,60
61,61,61,62,-1,-1,-1,-1,-1,-1,391,99,100,-1,60
61,61,61,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60
